行政區,名稱,開放時間,是否有沙坑,是否有廁所,GoogleMap導航,圖片網址,詳細頁網址,經度,緯度,地址
大同區,大橋國小,週一~五 19:00-22:00；週六~日 08:00-18:00,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=A5288B7556FC5604,121.51413,25.05429,臺北市大同區重慶北路二段2號
北投區,桃源國小,週六、週日08:00~18:00 ,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://play4u.gov.taipei/aplus2_1.jpg,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=D59D526AAB432DE3,121.48368,25.13968,臺北市北投區中央北路三段40巷45號
松山區,民權公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E9%8C%A6%E8%A1%97359%E5%B7%B72%E5%BC%84%EF%BC%8C%E6%B0%91%E6%AC%8A%E5%9C%8B%E5%B0%8F%E6%97%81,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=C5DF1B9459C34DE2,121.558667,25.061708,臺北市松山區富錦街359巷2弄，民權國小旁
萬華區,孝德公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%90%AC%E8%8F%AF%E5%8D%80%E5%AF%B6%E8%88%88%E8%A1%97140%E5%B7%B7%E8%88%87140%E5%B7%B717%E5%BC%84%E4%BA%A4%E5%8F%89%E5%8F%A3%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=BD5D627E0EDF1A60,121.494155,25.023903,臺北市萬華區寶興街140巷與140巷17弄交叉口
萬華區,柳鄉公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%90%AC%E8%8F%AF%E5%8D%80%E7%92%B0%E6%B2%B3%E5%8D%97%E8%B7%AF2%E6%AE%B5100%E5%B7%B7%E5%85%A7%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=F1CE2A9EFA257656,121.495397,25.037266,臺北市萬華區環河南路2段100巷內
士林區,忠誠公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%B1%B1%E5%8C%97%E8%B7%AF%E5%85%AD%E6%AE%B5%E8%88%87%E5%BF%A0%E8%AA%A0%E8%B7%AF%E4%B8%80%E6%AE%B5%E4%BA%A4%E5%8F%89%E5%8F%A3%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=A918CD09FE89D1AE,121.52588,25.103549,臺北市士林區中山北路六段與忠誠路一段交叉口
北投區,前山公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E5%BB%BA%E5%9C%8B%E8%A1%974%E8%99%9F%E6%97%81%E5%8F%8A%E7%B4%97%E5%B8%BD%E8%B7%AF117%E8%99%9F%E5%B0%8D%E9%9D%A2%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E35B35920E61F340,121.548282,25.151253,臺北市北投區建國街4號旁及紗帽路117號對面
北投區,北投22號線形公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E6%9D%B1%E8%8F%AF%E8%A1%97%E4%BA%8C%E6%AE%B5202%E8%99%9F%E5%B0%8D%E9%9D%A2%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=DC02EB86573A2C19,121.510066,25.120139,臺北市北投區東華街二段202號對面
北投區,北投19號線形公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E8%8F%AF%E8%A1%97%E4%BA%8C%E6%AE%B536%E8%99%9F%E5%B0%8D%E9%9D%A2%28%E6%8D%B7%E9%81%8B%E6%B7%A1%E6%B0%B4%E7%B7%9A%E6%A9%8B%E4%B8%8B%29%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=6DBE18CFCF752C57,121.513944,25.116804,臺北市北投區東華街二段36號對面(捷運淡水線橋下)
信義區,永吉公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E6%B0%B8%E5%90%89%E8%B7%AF278%E5%B7%B757%E5%BC%84%E5%85%A7%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=D46E7FE3E6E7464A,121.575066,25.043622,臺北市信義區永吉路278巷57弄內
大同區,迪化污水處理廠附設休閒運動公園共融式遊戲場,未明確標示 (戶外公園多為24H),無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=098577B77672CD9A,121.50972,25.0747,臺北市大同區延平北路4段200號(酒泉街與敦煌路區間路段)
大安區,銘傳國小,週一~週五17:50~21:30,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=AB64B85ABC18B917,121.53565,25.01404,臺北市大安區羅斯福路4段21號
文山區,永建國小,週六、週日05:00~21:00,無,有,https://www.google.com/maps/search/?api=1&query=110204%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%B8%82%E5%BA%9C%E8%B7%AF1%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E0D275EB758266BC,121.55537,24.98867,臺北市文山區木柵路1段311巷1號
北投區,軟橋公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E6%96%87%E6%9E%97%E5%8C%97%E8%B7%AF5%E5%B7%B758%E8%99%9F%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=73284DC89CF34499,121.51761,25.10287,臺北市北投區文林北路5巷58號
